Compound ID,smiles,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,ESOL predicted log solubility in mols per litre,LogP,AromaticProportion,FluorineAtoms,ChlorineAtoms,BromineAtoms,IodineAtoms,TotalHalogenAtoms
5-fluorouracil,Fc1c[nH]c(=O)[nH]c1=O ,1,130.078,2,1,0,65.72,-1.077,-0.792,-0.7977000000000001,0.6666666666666666,1.0,0.0,0.0,0.0,1.0
tubercidin,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,1,266.257,4,3,2,126.65,-1.95,-0.892,-1.3750000000000007,0.47368421052631576,0.0,0.0,0.0,0.0,0.0
"1,3-Benzenediol",Oc1cccc(O)c1,1,110.112,2,1,0,40.46,0.81,-1.59,1.0977999999999999,0.75,0.0,0.0,0.0,0.0,0.0
1-Hexanol,CCCCCCO,1,102.177,1,0,4,20.23,-1.24,-1.397,1.559,0.0,0.0,0.0,0.0,0.0,0.0
1-Chloropentane,CCCCCCl,1,106.596,0,0,3,0.0,-2.73,-2.294,2.415400000000001,0.0,0.0,1.0,0.0,0.0,1.0
"1,3-Butadiene",C=CC=C,1,54.092,0,0,1,0.0,-1.87,-1.376,1.3584,0.0,0.0,0.0,0.0,0.0,0.0
Propyl acetate,CCCOC(=O)C,1,102.133,0,0,2,26.3,-0.72,-1.125,0.9595,0.0,0.0,0.0,0.0,0.0,0.0
"5,6,7,8-tetrahydro-2-naphthol",Oc2ccc1CCCCc1c2 ,1,148.205,1,2,0,20.23,-1.99,-3.086,2.271,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
chloroacetamide,NC(=O)CCl ,1,93.513,1,0,1,43.09,-0.02,-0.106,-0.2895000000000001,0.0,0.0,1.0,0.0,0.0,1.0
Iodofenphos,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,1,413.0,0,1,4,27.69,-6.62,-6.148,4.494100000000002,0.375,0.0,2.0,0.0,1.0,3.0
4-Chlorotoluene,Cc1ccc(Cl)cc1,1,126.586,0,1,0,0.0,-3.08,-3.297,2.6484200000000007,0.75,0.0,1.0,0.0,0.0,1.0
Metribuzin,CSc1nnc(c(=O)n1N)C(C)(C)C,1,214.294,1,1,1,73.8,-2.253,-2.324,0.3714999999999997,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
Tricresyl phosphate,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,1,368.369,0,3,6,44.76,-6.01,-6.39,6.256760000000005,0.6923076923076923,0.0,0.0,0.0,0.0,0.0
Caproaldehyde,CCCCCC=O,1,100.161,0,0,4,17.07,-1.3,-1.457,1.7656,0.0,0.0,0.0,0.0,0.0,0.0
Butamben,CCCCOC(=O)c1ccc(N)cc1,1,193.246,1,1,4,52.32,-3.082,-3.039,2.2257,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
RTI 3,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,1,255.277,1,3,0,68.45,-3.043,-3.049,2.35452,0.631578947368421,0.0,0.0,0.0,0.0,0.0
Nerol,CC(C)=CCC/C(C)=C\CO,1,154.253,1,0,4,20.23,-2.46,-2.603,2.6714000000000016,0.0,0.0,0.0,0.0,0.0,0.0
"2,4'-PCB",Clc1ccc(cc1)c2ccccc2Cl ,1,223.102,0,2,1,0.0,-5.28,-5.142,4.660400000000002,0.8571428571428571,0.0,2.0,0.0,0.0,2.0
3-Octanoyloxymethylphenytoin,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1,408.498,1,3,10,75.71,-6.523,-4.84,4.343200000000004,0.4,0.0,0.0,0.0,0.0,0.0
Nitroethane,CCN(=O)=O,1,75.067,0,0,1,43.14,-0.22,-0.462,0.2829999999999999,0.0,0.0,0.0,0.0,0.0,0.0
Ethalfluralin,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,1,333.266,0,1,6,89.52,-6.124,-5.063,3.9242000000000035,0.2608695652173913,3.0,0.0,0.0,0.0,3.0
"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,1,215.894,0,1,0,0.0,-4.57,-4.546,4.3002,0.6,0.0,4.0,0.0,0.0,4.0
Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O ,1,218.253,2,0,6,104.64,-1.807,-1.376,0.9834000000000005,0.0,0.0,0.0,0.0,0.0,0.0
pregnenolone,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,1,316.485,1,4,1,37.3,-4.65,-4.342,4.515300000000004,0.0,0.0,0.0,0.0,0.0,0.0
Iodomethane,CI,1,141.939,0,0,0,0.0,-1.0,-1.646,1.0512000000000001,0.0,0.0,0.0,0.0,1.0,1.0
cycloheximide,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,1,281.352,2,2,3,83.47,-1.13,-1.532,1.0414999999999999,0.0,0.0,0.0,0.0,0.0,0.0
3-Heptanoyloxymethylphenytoin,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1,394.471,1,3,9,75.71,-6.301,-4.496,3.9531000000000027,0.41379310344827586,0.0,0.0,0.0,0.0,0.0
isophorone,CC1=CC(=O)CC(C)(C)C1 ,1,138.21,0,1,0,17.07,-1.06,-2.015,2.3218000000000005,0.0,0.0,0.0,0.0,0.0,0.0
Butabarbital,O=C1NC(=O)NC(=O)C1(CC)C(C)CC,1,212.249,2,1,3,75.27,-2.39,-1.958,0.7948999999999993,0.0,0.0,0.0,0.0,0.0,0.0
5-Nonanone,CCCCC(=O)CCCC,1,142.242,0,0,6,17.07,-2.58,-2.329,2.935900000000001,0.0,0.0,0.0,0.0,0.0,0.0
Glutethimide,CCC1(CCC(=O)NC1=O)c2ccccc2 ,1,217.268,1,2,2,46.17,-2.337,-2.591,1.771,0.375,0.0,0.0,0.0,0.0,0.0
3-Methylpentane,CCC(C)CC,1,86.178,0,0,2,0.0,-3.68,-2.6,2.442500000000001,0.0,0.0,0.0,0.0,0.0,0.0
Etofenprox,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,1,376.496,0,3,9,27.69,-8.6,-6.896,6.372000000000007,0.6428571428571429,0.0,0.0,0.0,0.0,0.0
Methaqualone,Cc1ccccc1n3c(C)nc2ccccc2c3=O,1,250.301,0,3,1,34.89,-2.925,-3.881,3.0025400000000015,0.8421052631578947,0.0,0.0,0.0,0.0,0.0
Chloroacetonitrile,ClCC#N,1,75.498,0,0,0,23.79,-0.092,-0.448,0.74878,0.0,0.0,1.0,0.0,0.0,1.0
Trichloronate,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,1,333.604,0,1,5,18.46,-5.752,-5.225,5.391500000000002,0.35294117647058826,0.0,3.0,0.0,0.0,3.0
Ethisterone,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,1,312.453,1,4,0,37.3,-5.66,-3.858,3.8826000000000027,0.0,0.0,0.0,0.0,0.0,0.0
Pyridazine,c1ccnnc1,2,80.09,0,1,0,25.78,1.1,-0.619,0.4765999999999999,1.0,0.0,0.0,0.0,0.0,0.0
"1,2,3,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)c(Cl)c1,1,215.894,0,1,0,0.0,-4.63,-4.621,4.3002,0.6,0.0,4.0,0.0,0.0,4.0
Diosgenin,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,1,414.63,1,6,0,38.69,-7.32,-5.681,5.508800000000006,0.0,0.0,0.0,0.0,0.0,0.0
o-Aminophenol,Nc1ccccc1O,1,109.128,2,1,0,46.25,-0.72,-1.465,0.9743999999999999,0.75,0.0,0.0,0.0,0.0,0.0
Ethyl nonanoate,CCCCCCCCC(=O)OCC,1,186.295,0,0,8,26.3,-3.8,-3.316,3.3001000000000023,0.0,0.0,0.0,0.0,0.0,0.0
metalaxyl,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,1,279.336,0,1,5,55.84,-1.601,-2.87,1.8443399999999999,0.3,0.0,0.0,0.0,0.0,0.0
Propoxur,CNC(=O)Oc1ccccc1OC(C)C,1,209.245,1,1,3,47.56,-2.05,-2.409,2.192,0.4,0.0,0.0,0.0,0.0,0.0
2-Chlorobutane,CCC(C)Cl,1,92.569,0,0,1,0.0,-1.96,-1.94,2.0237,0.0,0.0,1.0,0.0,0.0,1.0
2-Napthol,Oc1ccc2ccccc2c1,1,144.173,1,2,0,20.23,-2.28,-3.08,2.5454,0.9090909090909091,0.0,0.0,0.0,0.0,0.0
Oxadiazon,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,1,345.226,0,2,3,57.26,-5.696,-5.265,4.217000000000003,0.5,0.0,2.0,0.0,0.0,2.0
1-Hexyne ,CCCCC#C,1,82.146,0,0,2,0.0,-2.36,-1.801,1.8098,0.0,0.0,0.0,0.0,0.0,0.0
1-Nonyne ,CCCCCCCC#C,1,124.227,0,0,5,0.0,-4.24,-2.864,2.980100000000002,0.0,0.0,0.0,0.0,0.0,0.0
2-Chlorotoluene,Cc1ccccc1Cl,1,126.586,0,1,0,0.0,-3.52,-3.297,2.6484200000000007,0.75,0.0,1.0,0.0,0.0,1.0
Diisopropyl ether ,CC(C)OC(C)C,1,102.177,0,0,2,9.23,-1.1,-1.281,1.8197999999999999,0.0,0.0,0.0,0.0,0.0,0.0
Dapsone,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,1,248.307,2,2,2,86.18,-3.094,-2.464,1.6838000000000002,0.7058823529411765,0.0,0.0,0.0,0.0,0.0
Methyl hydrazine,CNN,1,46.073,2,0,0,38.05,1.34,0.543,-0.9205000000000001,0.0,0.0,0.0,0.0,0.0,0.0
Propyne,CC#C,1,40.065,0,0,0,0.0,-0.41,-0.672,0.6395,0.0,0.0,0.0,0.0,0.0,0.0
Phoxim,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,1,298.304,0,1,7,63.84,-4.862,-4.557,3.2283800000000014,0.3157894736842105,0.0,0.0,0.0,0.0,0.0
Propetamphos,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,1,281.314,1,0,7,56.79,-3.408,-2.826,2.3388,0.0,0.0,0.0,0.0,0.0,0.0
Acrolein,C=CC=O,1,56.064,0,0,1,17.07,0.57,-0.184,0.37129999999999996,0.0,0.0,0.0,0.0,0.0,0.0
Hypoxanthine,O=c1[nH]cnc2nc[nH]c12 ,1,136.114,2,2,0,74.43,-2.296,-0.656,-0.35380000000000006,0.9,0.0,0.0,0.0,0.0,0.0
6-hydroxyquinoline,Oc2ccc1ncccc1c2 ,1,145.161,1,2,0,33.12,-2.16,-2.725,1.9403999999999997,0.9090909090909091,0.0,0.0,0.0,0.0,0.0
Fluorobenzene,Fc1ccccc1,1,96.104,0,1,0,0.0,-1.8,-2.514,1.8256999999999999,0.8571428571428571,1.0,0.0,0.0,0.0,1.0
1-Chloropropane,CCCCl,1,78.542,0,0,1,0.0,-1.47,-1.585,1.6352,0.0,0.0,1.0,0.0,0.0,1.0
Ethyl acetate,CCOC(=O)C,1,88.106,0,0,1,26.3,-0.04,-0.77,0.5694,0.0,0.0,0.0,0.0,0.0,0.0
"2,2-Dimethylpentane",CCCC(C)(C)C,1,100.205,0,0,1,0.0,-4.36,-2.938,2.832600000000001,0.0,0.0,0.0,0.0,0.0,0.0
Pentamethylbenzene,Cc1cc(C)c(C)c(C)c1C,1,148.249,0,1,0,0.0,-4.0,-3.993,3.2287000000000017,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
eucalyptol,CC12CCC(CC1)C(C)(C)O2 ,1,154.253,0,3,0,9.23,-1.64,-2.579,2.7441000000000013,0.0,0.0,0.0,0.0,0.0,0.0
dibutyl sebacate,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,1,314.466,0,0,15,52.6,-3.896,-4.726,4.7938000000000045,0.0,0.0,0.0,0.0,0.0,0.0
"4,4'-PCB",Clc1ccc(cc1)c2ccc(Cl)cc2 ,1,223.102,0,2,1,0.0,-6.56,-5.299,4.660400000000002,0.8571428571428571,0.0,2.0,0.0,0.0,2.0
"2,3-Dimethylpyridine",Cc1cccnc1C,1,107.156,0,1,0,12.89,0.38,-2.067,1.69844,0.75,0.0,0.0,0.0,0.0,0.0
Carvone,CC(=C)C1CC=C(C)C(=O)C1,1,150.221,0,1,1,17.07,-2.06,-2.042,2.4879000000000007,0.0,0.0,0.0,0.0,0.0,0.0
Carbophenthion,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,1,342.875,0,1,8,18.46,-5.736,-5.828,5.420300000000004,0.3333333333333333,0.0,1.0,0.0,0.0,1.0
"Etoposide (148-167,25mg/ml)",COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,1,588.562,3,7,5,160.83,-3.571,-3.292,1.338599999999999,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
Perylene,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,2,252.316,0,5,0,0.0,-8.804,-6.007,5.737200000000003,1.0,0.0,0.0,0.0,0.0,0.0
"2,4-Dinitrotoluene",Cc1ccc(cc1N(=O)=O)N(=O)=O,1,182.135,0,1,2,86.28,-2.82,-2.604,1.8114200000000005,0.46153846153846156,0.0,0.0,0.0,0.0,0.0
2-bromonaphthalene,c1c(Br)ccc2ccccc12 ,1,207.07,0,2,0,0.0,-4.4,-4.434,3.6023000000000014,0.9090909090909091,0.0,0.0,1.0,0.0,1.0
Formetanate,CNC(=O)Oc1cccc(N=CN(C)C)c1,1,221.26,1,1,3,53.93,-2.34,-1.846,1.6262,0.375,0.0,0.0,0.0,0.0,0.0
6-methoxypteridine,COc2cnc1ncncc1n2,1,162.152,0,2,1,60.79,-1.139,-1.589,0.42839999999999984,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
nevirapine,Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,1,266.304,1,4,1,58.12,-3.19,-3.397,2.6512200000000004,0.6,0.0,0.0,0.0,0.0,0.0
Isazofos,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,1,313.747,0,1,7,58.4,-3.658,-3.76,3.1887000000000016,0.2777777777777778,0.0,1.0,0.0,0.0,1.0
"2-Methyl-1,3-Butadiene ",CC(=C)C=C,1,68.119,0,0,1,0.0,-2.03,-1.714,1.7485,0.0,0.0,0.0,0.0,0.0,0.0
linalool,CC(C)=CCCC(O)(C)C=C,1,154.253,1,0,4,20.23,-1.99,-2.399,2.6698000000000013,0.0,0.0,0.0,0.0,0.0,0.0
Fenthion,COP(=S)(OC)Oc1ccc(SC)c(C)c1,1,278.335,0,1,5,27.69,-4.57,-4.265,3.6130200000000023,0.375,0.0,0.0,0.0,0.0,0.0
Cyclohexanol ,OC1CCCCC1,1,100.161,1,1,0,20.23,-0.44,-1.261,1.3114,0.0,0.0,0.0,0.0,0.0,0.0
5-Allyl-5-methylbarbital,O=C1NC(=O)NC(=O)C1(C)CC=C,1,182.179,2,1,2,75.27,-1.16,-1.013,-0.06520000000000037,0.0,0.0,0.0,0.0,0.0,0.0
Epiandrosterone,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,1,290.447,1,4,0,37.3,-4.16,-3.882,3.959100000000003,0.0,0.0,0.0,0.0,0.0,0.0
mannitol,OCC(O)C(O)C(O)C(O)CO ,1,182.172,6,0,5,121.38,0.06,0.647,-3.5854000000000004,0.0,0.0,0.0,0.0,0.0,0.0
4-Methylbiphenyl,Cc1ccc(cc1)c2ccccc2,1,168.239,0,2,1,0.0,-4.62,-4.424,3.662020000000002,0.9230769230769231,0.0,0.0,0.0,0.0,0.0
Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,1,215.688,2,1,4,62.73,-3.85,-3.069,1.7770999999999997,0.42857142857142855,0.0,1.0,0.0,0.0,1.0
Phenylthiourea,NC(=S)Nc1ccccc1,1,152.222,2,1,1,38.05,-1.77,-1.701,1.3421,0.6,0.0,0.0,0.0,0.0,0.0
4-Heptanone,CCCC(=O)CCC,1,114.188,0,0,4,17.07,-1.3,-1.62,2.1557000000000004,0.0,0.0,0.0,0.0,0.0,0.0
"3,3-Dimethyl-2-butanone",CC(=O)C(C)(C)C,1,100.161,0,0,0,17.07,-0.72,-1.25,1.6215,0.0,0.0,0.0,0.0,0.0,0.0
4-Chlorophenol ,Oc1ccc(Cl)cc1,1,128.558,1,1,0,20.23,-0.7,-2.761,2.0456,0.75,0.0,1.0,0.0,0.0,1.0
Cyclohexanone,O=C1CCCCC1,1,98.145,0,1,0,17.07,-0.6,-0.996,1.5196,0.0,0.0,0.0,0.0,0.0,0.0
m-Methylaniline,Cc1cccc(N)c1,1,107.156,1,1,0,26.02,-0.85,-1.954,1.5772199999999998,0.75,0.0,0.0,0.0,0.0,0.0
Trichloroacetonitrile,ClC(Cl)(Cl)C#N,1,144.388,0,0,0,23.79,-2.168,-2.019,1.88018,0.0,0.0,3.0,0.0,0.0,3.0
norflurazon,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,1,303.671,1,2,2,46.92,-4.046,-4.029,2.9464000000000006,0.6,3.0,1.0,0.0,0.0,4.0
2-Decanone,CCCCCCCCC(=O)C,1,156.269,0,0,7,17.07,-3.3,-2.617,3.3260000000000023,0.0,0.0,0.0,0.0,0.0,0.0
Ipazine,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,1,243.742,1,1,5,53.94,-3.785,-3.497,2.1914999999999996,0.375,0.0,1.0,0.0,0.0,1.0
Benzocaine,CCOC(=O)c1ccc(N)cc1,1,165.192,1,1,2,52.32,-2.616,-2.383,1.4455,0.5,0.0,0.0,0.0,0.0,0.0
"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,1,181.449,0,1,0,0.0,-3.59,-4.083,3.6468000000000007,0.6666666666666666,0.0,3.0,0.0,0.0,3.0
Triazolam,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,1,343.217,0,4,1,43.07,-4.09,-3.948,4.233520000000003,0.7391304347826086,0.0,2.0,0.0,0.0,2.0
"1,2-Benzenediol",Oc1ccccc1O,1,110.112,2,1,0,40.46,0.62,-1.635,1.0977999999999999,0.75,0.0,0.0,0.0,0.0,0.0
Reverse Transcriptase inhibitor 1,CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,1,254.293,0,3,1,49.33,-2.62,-2.794,2.2245999999999997,0.631578947368421,0.0,0.0,0.0,0.0,0.0
Dimethyl sulfide,CSC,1,62.137,0,0,0,0.0,-0.45,-0.758,0.9792,0.0,0.0,0.0,0.0,0.0,0.0
2-Bromotoluene,Cc1ccccc1Br,1,171.037,0,1,0,0.0,-2.23,-3.667,2.7575200000000013,0.75,0.0,0.0,1.0,0.0,1.0
O-Ethyl carbamate,CCOC(=O)N,1,89.094,1,0,1,52.32,0.85,-0.218,0.10160000000000013,0.0,0.0,0.0,0.0,0.0,0.0
megestrol acetate,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,1,384.516,0,4,2,60.44,-5.35,-4.417,4.575300000000004,0.0,0.0,0.0,0.0,0.0,0.0
"2,4-Dimethyl-3-pentanol",CC(C)C(O)C(C)C,1,116.204,1,0,2,20.23,-1.22,-1.647,1.6593,0.0,0.0,0.0,0.0,0.0,0.0
Napthalene,c1ccc2ccccc2c1,2,128.174,0,2,0,0.0,-3.6,-3.468,2.839800000000001,1.0,0.0,0.0,0.0,0.0,0.0
N-Ethylaniline,CCNc1ccccc1,1,121.183,1,1,2,12.03,-1.7,-2.389,2.1184,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
Phenytoin,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,1,252.273,2,3,2,58.2,-4.097,-3.057,1.7695999999999998,0.631578947368421,0.0,0.0,0.0,0.0,0.0
"7,12-Dimethylbenz(a)anthracene",Cc1c2ccccc2c(C)c3ccc4ccccc4c13,1,256.348,0,4,0,0.0,-7.02,-6.297,5.763040000000005,0.9,0.0,0.0,0.0,0.0,0.0
Dialifor,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,1,393.854,0,2,8,55.84,-6.34,-5.026,3.878200000000003,0.2608695652173913,0.0,1.0,0.0,0.0,1.0
Methoxychlor,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,1,345.653,0,2,4,18.46,-6.89,-5.538,5.205900000000002,0.5714285714285714,0.0,3.0,0.0,0.0,3.0
TEFLUBENZURON,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,1,381.112,2,2,2,58.2,-7.28,-5.462,4.511700000000001,0.5,4.0,2.0,0.0,0.0,6.0
3-Pentanoyloxymethylphenytoin,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1,366.417,1,3,7,75.71,-4.678,-3.81,3.172900000000002,0.4444444444444444,0.0,0.0,0.0,0.0,0.0
Monuron,CN(C)C(=O)Nc1ccc(Cl)cc1,1,198.653,1,1,1,32.34,-2.89,-2.671,2.4335000000000004,0.46153846153846156,0.0,1.0,0.0,0.0,1.0
Flutriafol,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,1,301.296,1,3,4,50.94,-3.37,-3.569,2.492400000000001,0.7727272727272727,2.0,0.0,0.0,0.0,2.0
triamcinolone diacetate,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,1,478.513,2,4,4,127.2,-4.13,-3.876,1.7620999999999996,0.0,1.0,0.0,0.0,0.0,1.0
1-Bromobutane,CCCCBr,1,137.02,0,0,2,0.0,-2.37,-2.303,2.1814,0.0,0.0,0.0,1.0,0.0,1.0
"1,2,4,5-Tetrabromobenzene",Brc1cc(Br)c(Br)cc1Br,1,393.698,0,1,0,0.0,-6.98,-6.001,4.7366,0.6,0.0,0.0,4.0,0.0,4.0
4-Methyl-2-pentanone,CC(C)CC(=O)C,1,100.161,0,0,2,17.07,-0.74,-1.184,1.6215,0.0,0.0,0.0,0.0,0.0,0.0
cycloate,CCSC(=O)N(CC)C1CCCCC1 ,1,215.362,0,1,3,20.31,-3.4,-3.35,3.5141000000000027,0.0,0.0,0.0,0.0,0.0,0.0
4-Chloroanisole,COc1ccc(Cl)cc1,1,142.585,0,1,1,9.23,-2.78,-3.057,2.3486000000000002,0.6666666666666666,0.0,1.0,0.0,0.0,1.0
Deltamethrin,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,1,505.206,0,3,6,59.32,-8.402,-7.44,6.490180000000005,0.42857142857142855,0.0,0.0,2.0,0.0,2.0
Talbutal,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,1,224.26,2,1,4,75.27,-2.016,-2.06,0.9609999999999999,0.0,0.0,0.0,0.0,0.0,0.0
Fenitrothion,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,1,277.238,0,1,5,70.83,-4.04,-3.845,2.7993200000000007,0.35294117647058826,0.0,0.0,0.0,0.0,0.0
1-Iodonapthalene,Ic1cccc2ccccc12,1,254.07,0,2,0,0.0,-4.55,-4.889,3.4444000000000017,0.9090909090909091,0.0,0.0,0.0,1.0,1.0
Sorbitol,OCC(O)C(O)C(O)C(O)CO,1,182.172,6,0,5,121.38,1.09,0.647,-3.5854000000000004,0.0,0.0,0.0,0.0,0.0,0.0
Ethanethiol,CCS,1,62.137,1,0,0,0.0,-0.6,-0.968,0.9360999999999999,0.0,0.0,0.0,0.0,0.0,0.0
"1,1,2-Trichloroethane",ClCC(Cl)Cl,1,133.405,0,0,1,0.0,-1.48,-1.961,2.0289,0.0,0.0,3.0,0.0,0.0,3.0
Pyrolan,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,1,245.282,0,2,2,47.36,-2.09,-3.141,2.2411200000000004,0.6111111111111112,0.0,0.0,0.0,0.0,0.0
o-Hydroxybenzamide,NC(=O)c1ccccc1O,1,137.138,2,1,1,63.32,-1.82,-1.942,0.49110000000000004,0.6,0.0,0.0,0.0,0.0,0.0
o-Nitrotoluene,Cc1ccccc1N(=O)=O,1,137.138,0,1,1,43.14,-2.33,-2.589,1.9032200000000001,0.6,0.0,0.0,0.0,0.0,0.0
"5,5-Diisopropylbarbital",O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,1,212.249,2,1,2,75.27,-2.766,-1.942,0.6507999999999994,0.0,0.0,0.0,0.0,0.0,0.0
2-Ethyltoluene,CCc1ccccc1C,1,120.195,0,1,1,0.0,-3.21,-3.296,2.5574200000000005,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
1-Chloroheptane,CCCCCCCCl,1,134.65,0,0,5,0.0,-4.0,-3.003,3.1956000000000016,0.0,0.0,1.0,0.0,0.0,1.0
Barbital,O=C1NC(=O)NC(=O)C1(CC)CC,1,184.195,2,1,2,75.27,-2.4,-1.265,0.15879999999999939,0.0,0.0,0.0,0.0,0.0,0.0
Bibenzyl ,C(Cc1ccccc1)c2ccccc2,2,182.266,0,2,3,0.0,-4.62,-4.301,3.4718000000000018,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,1,167.85,0,0,1,0.0,-1.74,-2.549,2.5938,0.0,0.0,4.0,0.0,0.0,4.0
RTI 23,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,1,283.331,1,3,2,54.46,-5.153,-4.228,3.122320000000001,0.5714285714285714,0.0,0.0,0.0,0.0,0.0
2-Methylphenanthrene,Cc1ccc2c(ccc3ccccc32)c1,1,192.261,0,3,0,0.0,-5.84,-4.87,4.301420000000003,0.9333333333333333,0.0,0.0,0.0,0.0,0.0
dibutylphthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC ,1,278.348,0,1,8,52.6,-4.4,-4.378,3.600400000000003,0.3,0.0,0.0,0.0,0.0,0.0
tetrachloroguaiacol,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,1,261.919,1,1,1,29.46,-4.02,-4.299,4.014400000000001,0.46153846153846156,0.0,4.0,0.0,0.0,4.0
Dimecron,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,1,299.691,0,0,8,65.07,0.523,-2.426,2.3950000000000005,0.0,0.0,1.0,0.0,0.0,1.0
Equilin,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,1,268.356,1,4,0,37.3,-5.282,-3.555,3.7375000000000025,0.3,0.0,0.0,0.0,0.0,0.0
Chlorimuron-ethyl (ph 7),CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,1,414.827,1,2,8,127.79,-4.576,-3.719,1.1715999999999998,0.4444444444444444,0.0,1.0,0.0,0.0,1.0
p-Nitroanisole,COc1ccc(cc1)N(=O)=O,1,153.137,0,1,2,52.37,-2.41,-2.522,1.6033999999999997,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
1-Chlorohexane,CCCCCCCl,1,120.623,0,0,4,0.0,-3.12,-2.648,2.805500000000001,0.0,0.0,1.0,0.0,0.0,1.0
"2,2',3,3',4,4',5,5'-PCB",Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,1,429.772,0,2,1,0.0,-9.16,-8.468,8.580799999999998,0.6,0.0,8.0,0.0,0.0,8.0
